[Mon Aug 18 2014 13:42:45 GMT+0200 (CEST)] GET 200 localhost://localhost / "curl/7.35.0"
[Mon Aug 18 2014 13:46:12 GMT+0200 (CEST)] GET 200 http://localhost / "curl/7.35.0"
[Mon Aug 18 2014 13:50:16 GMT+0200 (CEST)] GET 200 24ms http://localhost "/" "text/html; charset=utf-8" "curl/7.35.0"
[Sun Aug 24 2014 21:44:04 GMT+0200 (CEST)] 304 11ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:04 GMT+0200 (CEST)] 200 2ms GET "http://localhost:3000/express-server/js/tracker.js" "application/javascript" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:04 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/track?user-agent=Mozilla%2F5.0%20(X11%3B%20Ubuntu%3B%20Linux%20x86_64%3B%20rv%3A31.0)%20Gecko%2F20100101%20Firefox%2F31.0&referrer=&screen=1280x1024&availScreen=1280x1024&page=http%3A%2F%2Flocalhost%3A3000%2F&pixelRatio=1&colorDepth=24" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:46 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:46 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:46 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/track?user-agent=Mozilla%2F5.0%20(X11%3B%20Ubuntu%3B%20Linux%20x86_64%3B%20rv%3A31.0)%20Gecko%2F20100101%20Firefox%2F31.0&referrer=&screen=1280x1024&availScreen=1280x1024&page=http%3A%2F%2Flocalhost%3A3000%2F&pixelRatio=1&colorDepth=24" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:48 GMT+0200 (CEST)] 304 2ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:48 GMT+0200 (CEST)] 304 0ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:44:48 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/track?user-agent=Mozilla%2F5.0%20(X11%3B%20Ubuntu%3B%20Linux%20x86_64%3B%20rv%3A31.0)%20Gecko%2F20100101%20Firefox%2F31.0&referrer=&screen=1280x1024&availScreen=1280x1024&page=http%3A%2F%2Flocalhost%3A3000%2F&pixelRatio=1&colorDepth=24" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:28 GMT+0200 (CEST)] 304 2ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:28 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/express-server/js/tracker.js" "application/javascript" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:28 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/track?user-agent=Mozilla%2F5.0%20(X11%3B%20Ubuntu%3B%20Linux%20x86_64%3B%20rv%3A31.0)%20Gecko%2F20100101%20Firefox%2F31.0&referrer=&screen=1280x1024&availScreen=1280x1024&page=http%3A%2F%2Flocalhost%3A3000%2F&pixelRatio=1&colorDepth=24" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:51 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:51 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:52 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:52 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:53 GMT+0200 (CEST)] 304 2ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:47:53 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:49:40 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:49:40 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:49:57 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:49:57 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (oCMWsx-otCSYVK6QhDoJZZiwsEKheSUw)
[Sun Aug 24 2014 21:50:32 GMT+0200 (CEST)] 200 2ms GET "http://localhost:3000/" "text/html; charset=utf-8" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (ROpjBiDBOIPeJidFY_LMOq85vIlT8DtS)
[Sun Aug 24 2014 21:50:32 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/express-server/js/tracker.js" "application/javascript" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (ROpjBiDBOIPeJidFY_LMOq85vIlT8DtS)
[Sun Aug 24 2014 21:50:32 GMT+0200 (CEST)] 200 1ms GET "http://localhost:3000/track?user-agent=Mozilla%2F5.0%20(X11%3B%20Ubuntu%3B%20Linux%20x86_64%3B%20rv%3A31.0)%20Gecko%2F20100101%20Firefox%2F31.0&referrer=&screen=1280x1024&availScreen=1280x1024&page=http%3A%2F%2Flocalhost%3A3000%2F&pixelRatio=1&colorDepth=24" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (ROpjBiDBOIPeJidFY_LMOq85vIlT8DtS)
[Sun Aug 24 2014 21:50:45 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "undefined" (ROpjBiDBOIPeJidFY_LMOq85vIlT8DtS)
[Sun Aug 24 2014 21:50:45 GMT+0200 (CEST)] 304 1ms GET "http://localhost:3000/express-server/js/tracker.js" "undefined" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0" "http://localhost:3000/" (ROpjBiDBOIPeJidFY_LMOq85vIlT8DtS)
